Superfamily,Count of Genes
cl02556,10
cl17169,10
cl02488,10
cl11960,7
cl02573,7
cl14603,6
cl21522,5
cl17735,5
cl17171,4
cl31754,4
cl28889,4
cl15674,4
cl03409,4
cl02516,4
cl07383,4
cl20226,4
cl28899,3
cl21453,3
cl02475,3
cl11592,3
cl28883,3
cl23716,3
cl02601,3
cl02614,3
cl27660,3
cl40454,2
cl28922,2
cl02715,2
cl33724,2
cl33720,2
cl02608,2
cl34881,2
cl43672,2
cl15255,2
cl00157,2
cl28897,2
cl00030,2
cl14876,2
cl17238,2
cl17037,2
cl03182,2
cl28749,1
cl05793,1
cl34891,1
cl34328,1
cl42428,1
cl00297,1
cl06657,1
cl08270,1
cl37187,1
cl21457,1
cl00268,1
cl33382,1
cl38907,1
cl44253,1
cl30881,1
cl00483,1
cl37069,1
cl25527,1
cl38936,1
cl33891,1
cl16457,1
cl16474,1
cl30946,1
cl00262,1
cl14633,1
cl35903,1
cl13649,1
cl34174,1
cl22954,1
cl25641,1
cl02611,1
cl36704,1
cl35639,1
cl18951,1
cl12013,1
cl02563,1
cl04215,1
cl03381,1
cl25440,1
cl36741,1
cl02570,1
cl02571,1
cl07596,1
cl14561,1
cl03079,1
cl42954,1
cl44845,1
cl24369,1
cl24911,1
cl34960,1
cl24912,1
cl24910,1
cl24813,1
cl36510,1
cl36163,1
cl00082,1
cl22856,1
cl07066,1
cl25621,1
cl05674,1
cl31509,1
cl15697,1
cl28910,1
cl29593,1
cl36561,1
cl00015,1
cl07494,1
cl17036,1
cl27008,1
cl02594,1
cl33956,1
cl00258,1
cl36939,1
cl21511,1
cl00271,1
cl02483,1
cl02484,1
cl11519,1
cl04085,1
cl04084,1
cl20603,1
cl20604,1
cl20602,1
cl42516,1
cl21454,1
cl45903,1
cl02533,1
cl13984,1
cl00081,1
cl13910,1
cl00949,1
cl21095,1
cl21598,1
cl07854,1
cl11338,1
cl33186,1
cl33924,1
cl16500,1
cl00447,1
cl43376,1
cl13375,1
cl22451,1
cl36792,1
cl44614,1
cl03143,1
cl02776,1
cl00388,1
cl34953,1
cl42959,1
cl02575,1
cl24341,1
cl16430,1
cl45918,1
cl21735,1
cl09317,1
cl28903,1
cl33709,1
cl37952,1
cl03978,1
cl15693,1
cl02569,1
cl39440,1
cl39397,1
cl06868,1
cl34916,1
cl23723,1
cl28786,1
cl35613,1
cl28912,1
cl38911,1
cl33044,1
cl24183,1
cl26702,1
cl19745,1
cl09597,1
cl37996,1
cl38414,1
cl34780,1
cl24184,1
cl18310,1
cl21428,1
cl37315,1
cl44670,1
cl34567,1
cl11982,1
cl19567,1
cl37504,1
cl41463,1
cl21504,1
cl28715,1
cl36108,1
cl27451,1
cl01342,1
cl33729,1
